HDR,ROLLING SYSTEM DEMAND
VD,20200223061500,23511
VD,20200223062000,23456
VD,20200223062500,23476
VD,20200223063000,23490
VD,20200223063500,23507
VD,20200223064000,23511
VD,20200223064500,23660
VD,20200223065000,23817
VD,20200223065500,23959
VD,20200223070000,24088
VD,20200223070500,24143
VD,20200223071000,24292
VD,20200223071500,24491
VD,20200223072000,24662
VD,20200223072500,24873
VD,20200223073000,25013
VD,20200223073500,25110
VD,20200223074000,25125
VD,20200223074500,25158
VD,20200223075000,25309
VD,20200223075500,25455
VD,20200223080000,25714
VD,20200223080500,26097
VD,20200223081000,26327
VD,20200223081500,26542
VD,20200223082000,26785
VD,20200223082500,26930
VD,20200223083000,27111
VD,20200223083500,27259
VD,20200223084000,27454
VD,20200223084500,27570
VD,20200223085000,27774
VD,20200223085500,28017
VD,20200223090000,28212
VD,20200223090500,28525
VD,20200223091000,28738
VD,20200223091500,28911
VD,20200223092000,29094
VD,20200223092500,29224
VD,20200223093000,29332
VD,20200223093500,29401
VD,20200223094000,29556
VD,20200223094500,29747
VD,20200223095000,29974
VD,20200223095500,30081
VD,20200223100000,30167
VD,20200223100500,30564
VD,20200223101000,30427
VD,20200223101500,30360
VD,20200223102000,30374
VD,20200223102500,30421
VD,20200223103000,30488
VD,20200223103500,30596
VD,20200223104000,30665
VD,20200223104500,30705
VD,20200223105000,30680
VD,20200223105500,30565
VD,20200223110000,30509
VD,20200223110500,30382
VD,20200223111000,30318
VD,20200223111500,30328
VD,20200223112000,30325
VD,20200223112500,30174
VD,20200223113000,30082
VD,20200223113500,30228
VD,20200223114000,30143
VD,20200223114500,30087
VD,20200223115000,30149
VD,20200223115500,30053
VD,20200223120000,29834
VD,20200223120500,29793
VD,20200223121000,29741
VD,20200223121500,29624
VD,20200223122000,29596
VD,20200223122500,29543
VD,20200223123000,29447
VD,20200223123500,29443
VD,20200223124000,29374
VD,20200223124500,29327
VD,20200223125000,29304
VD,20200223125500,29192
VD,20200223130000,29159
VD,20200223130500,29108
VD,20200223131000,29102
VD,20200223131500,29179
VD,20200223132000,29266
VD,20200223132500,29208
VD,20200223133000,29230
VD,20200223133500,29251
VD,20200223134000,29220
VD,20200223134500,29155
VD,20200223135000,29166
VD,20200223135500,29225
VD,20200223140000,29262
VD,20200223140500,29355
VD,20200223141000,29342
VD,20200223141500,29360
VD,20200223142000,29537
VD,20200223142500,29667
VD,20200223143000,29758
VD,20200223143500,29785
VD,20200223144000,29851
VD,20200223144500,29877
VD,20200223145000,30028
VD,20200223145500,30234
VD,20200223150000,30459
VD,20200223150500,30976
VD,20200223151000,30980
VD,20200223151500,31081
VD,20200223152000,31132
VD,20200223152500,31282
VD,20200223153000,31403
VD,20200223153500,31731
VD,20200223154000,31792
VD,20200223154500,32083
VD,20200223155000,32546
VD,20200223155500,32758
VD,20200223160000,33004
VD,20200223160500,33289
VD,20200223161000,33628
VD,20200223161500,33862
VD,20200223162000,34113
VD,20200223162500,34408
VD,20200223163000,34681
VD,20200223163500,35047
VD,20200223164000,35338
VD,20200223164500,35596
VD,20200223165000,35858
VD,20200223165500,36151
VD,20200223170000,36514
VD,20200223170500,36843
VD,20200223171000,37198
VD,20200223171500,37492
VD,20200223172000,37823
VD,20200223172500,38095
VD,20200223173000,38395
VD,20200223173500,38705
VD,20200223174000,38927
VD,20200223174500,39193
VD,20200223175000,39468
VD,20200223175500,39604
VD,20200223180000,39615
VD,20200223180500,39644
VD,20200223181000,39766
VD,20200223181500,39943
VD,20200223182000,39751
VD,20200223182500,39733
VD,20200223183000,39609
VD,20200223183500,39424
VD,20200223184000,39400
VD,20200223184500,39242
VD,20200223185000,39162
VD,20200223185500,39061
VD,20200223190000,39011
VD,20200223190500,38986
VD,20200223191000,38844
VD,20200223191500,38581
VD,20200223192000,38601
VD,20200223192500,38483
VD,20200223193000,38355
VD,20200223193500,38186
VD,20200223194000,38065
VD,20200223194500,37933
VD,20200223195000,37631
VD,20200223195500,37550
VD,20200223200000,37479
VD,20200223200500,37280
VD,20200223201000,37299
VD,20200223201500,37186
VD,20200223202000,36948
VD,20200223202500,36743
VD,20200223203000,36443
VD,20200223203500,36332
VD,20200223204000,36134
VD,20200223204500,35949
VD,20200223205000,35748
VD,20200223205500,35370
VD,20200223210000,35185
VD,20200223210500,35000
VD,20200223211000,34519
VD,20200223211500,34038
VD,20200223212000,33702
VD,20200223212500,33433
VD,20200223213000,33145
VD,20200223213500,32746
VD,20200223214000,32388
VD,20200223214500,32245
VD,20200223215000,32064
VD,20200223215500,31855
VD,20200223220000,31544
VD,20200223220500,31264
VD,20200223221000,31096
VD,20200223221500,30822
VD,20200223222000,30450
VD,20200223222500,30237
VD,20200223223000,30118
VD,20200223223500,29875
VD,20200223224000,29653
VD,20200223224500,29498
VD,20200223225000,29229
VD,20200223225500,28842
VD,20200223230000,28531
VD,20200223230500,28325
VD,20200223231000,27862
VD,20200223231500,27444
VD,20200223232000,27205
VD,20200223232500,26972
VD,20200223233000,26888
VD,20200223233500,26865
VD,20200223234000,26794
VD,20200223234500,26602
VD,20200223235000,26437
VD,20200223235500,26282
VD,20200224000000,26325
VD,20200224000500,26582
VD,20200224001000,26593
VD,20200224001500,26553
